Ward name,New code,Population density (persons per sq km) - 2013,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (£) - 2014,Average GCSE capped point scores - 2014,A-Level Average Point Score Per Student - 2013/14,"Deliberate Fires per 1,000 population - 2014"
Bromley - Cray Valley East,E05000114,"1,177",6623,69.3,"£242,000",297,647.3,2.9
Bromley - Cray Valley West,E05000115,"4,372",6947,67.4,"£250,000",303,677.4,0.7
Bromley - Crystal Palace,E05000116,"5,478",6215,69.5,"£250,000",287,690.1,1.6
Bromley - Darwin,E05000117,181,2293,75,"£445,000",337,705.6,0.4
Bromley - Farnborough and Crofton,E05000118,"2,121",6412,75.1,"£395,000",355,833.6,0.6
Bromley - Hayes and Coney Hall,E05000119,"1,500",7529,76.3,"£441,250",349,772.9,0.3
Bromley - Kelsey and Eden Park,E05000120,"3,106",7470,75.5,"£421,599",355,707.1,0.1
Bromley - Mottingham and Chislehurst North,E05000121,"4,250",4313,67.9,"£250,000",296,732.5,1.4
Bromley - Orpington,E05000122,"3,616",6648,72.8,"£340,000",329,752.5,0.8
Bromley - Penge and Cator,E05000123,"5,883",8475,70.4,"£320,000",323,701.1,1.3
Bromley - Petts Wood and Knoll,E05000124,"3,221",6258,75.4,"£485,000",357,818,0.1
Bromley - Plaistow and Sundridge,E05000125,"3,850",7283,73.5,"£295,444",327,768.3,0.3
Bromley - Shortlands,E05000126,"4,020",4629,76.3,"£468,000",381,722.9,0.2
Bromley - West Wickham,E05000127,"3,443",6917,76.8,"£475,000",370,746.5,0
Camden - Belsize,E05000128,"15,938",6670,74.4,"£850,000",328,643.9,0.4
Camden - Bloomsbury,E05000129,"11,650",4639,51.4,"£560,000",343,662.7,0.2
Camden - Camden Town with Primrose Hill,E05000130,"10,792",6413,69.4,"£813,500",338,683.6,0.4
Camden - Cantelowes,E05000131,"15,375",5731,64.3,"£560,000",317,723.8,0.6
Camden - Fortune Green,E05000132,"12,000",6598,74.6,"£575,000",326,594.2,0
Camden - Frognal and Fitzjohns,E05000133,"8,133",5692,69.8,"£955,000",357,864,0.1
Camden - Gospel Oak,E05000134,"16,357",5031,65.5,"£599,999",323,706.6,0.4
Camden - Hampstead Town,E05000135,"4,540",5750,76.6,"£1,190,000",384,732.2,0.3
Camden - Haverstock,E05000136,"18,000",5401,62.9,"£547,305",297,658.3,0.2
Camden - Highgate,E05000137,"3,484",5163,70.4,"£650,000",316,659.5,0.4
Camden - Holborn and Covent Garden,E05000138,"11,250",6266,61.9,"£685,000",339,678.8,0.1
Camden - Kentish Town,E05000139,"13,750",7131,71.3,"£630,100",305,691.1,0.4
Camden - Kilburn,E05000140,"17,500",5745,66.8,"£468,000",314,660.9,0.1
Camden - King's Cross,E05000141,"20,833",4277,46.1,"£625,000",322,651.3,0.3
Camden - Regent's Park,E05000142,"10,962",5474,54.4,"£600,000",320,706.6,1.2
Camden - St. Pancras and Somers Town,E05000143,"10,786",5173,53,"£465,000",314,626.3,0.4
Camden - Swiss Cottage,E05000144,"10,077",6710,72.3,"£740,500",305,627,0.4
Camden - West Hampstead,E05000145,"13,722",7259,76.2,"£622,500",328,659.2,0
Croydon - Addiscombe,E05000146,"10,844",8956,74.1,"£250,000",318,721.6,0.1
Croydon - Ashburton,E05000147,"5,556",6863,71.7,"£347,000",320,700.6,0.4
Croydon - Bensham Manor,E05000148,"11,750",7344,67.5,"£246,250",312,680.2,0
Croydon - Broad Green,E05000149,"7,185",8096,64.6,"£231,000",309,678.6,1.2
Croydon - Coulsdon East,E05000150,"1,630",5534,73.9,"£375,000",335,709,0.7
Croydon - Coulsdon West,E05000151,"2,770",6565,75.5,"£361,000",352,748.3,0.4
Croydon - Croham,E05000152,"4,614",8417,76.5,"£250,000",341,713.1,0.2
Croydon - Fairfield,E05000153,"5,066",8567,73.1,"£236,000",317,658.5,0.2
Croydon - Fieldway,E05000154,"7,800",3947,58.5,"£220,000",276,631.7,2.5
Croydon - Heathfield,E05000155,"1,552",6385,74.3,"£260,000",309,713.6,1
Croydon - Kenley,E05000156,"2,369",7217,75,"£340,000",330,718.8,0.2
Croydon - New Addington,E05000157,"4,604",4273,64.4,"£245,000",290,680.5,2
Croydon - Norbury,E05000158,"6,740",7506,69.5,"£350,000",327,694.1,0.2
Croydon - Purley,E05000159,"3,607",7086,74.1,"£320,000",346,759.4,0.1
Croydon - Sanderstead,E05000160,"2,071",5928,74.9,"£392,500",347,755,0.1
Croydon - Selhurst,E05000161,"7,978",7821,64.7,"£212,998",317,666.1,0.8
Croydon - Selsdon and Ballards,E05000162,"1,883",5821,76.4,"£344,000",340,706.9,0.5
Croydon - Shirley,E05000163,"5,214",6476,72.3,"£320,000",319,656.5,0.6
Croydon - South Norwood,E05000164,"6,979",7805,68.7,"£240,000",319,717.1,0.2
Croydon - Thornton Heath,E05000165,"9,853",7275,66.8,"£250,000",298,649.9,0.5
Croydon - Upper Norwood,E05000166,"6,308",7616,69.7,"£289,750",318,700.3,0.4
Croydon - Waddon,E05000167,"4,847",7964,69.9,"£243,250",305,692,0.4
Croydon - West Thornton,E05000168,"8,925",7397,64.6,"£235,000",318,675.9,0.4
Croydon - Woodside,E05000169,"7,727",7821,69,"£250,000",299,680.9,0.5
Ealing - Acton Central,E05000170,"8,750",7576,69.4,"£570,000",336,726.2,0.4
Ealing - Cleveland,E05000171,"6,750",6625,68.6,"£500,000",339,727.2,0.1
Ealing - Dormers Wells,E05000172,"6,152",5600,61,"£265,000",308,672.1,0.4
Ealing - Ealing Broadway,E05000173,"7,868",7745,75.1,"£459,970",349,773,0.2
Ealing - Ealing Common,E05000174,"6,810",7687,74.6,"£536,000",339,685.9,0.2
Ealing - East Acton,E05000175,"4,523",9269,68.3,"£390,500",306,696.4,0.4
Ealing - Elthorne,E05000176,"7,450",7500,73.1,"£408,750",313,710,0.3
Ealing - Greenford Broadway,E05000177,"7,120",7668,66.4,"£249,000",315,682.9,0.3
Ealing - Greenford Green,E05000178,"4,265",7003,72.6,"£307,000",325,720.1,0.1
Ealing - Hanger Hill,E05000179,"4,788",7640,71.9,"£519,000",330,687,0.3
Ealing - Hobbayne,E05000180,"6,523",6644,70.6,"£386,250",328,711.2,0.3
Ealing - Lady Margaret,E05000181,"9,433",6368,66.6,"£285,000",337,716.2,0.4
Ealing - Northfield,E05000182,"9,133",7455,78.6,"£615,000",380,793,0.1
Ealing - North Greenford,E05000183,"4,656",7263,72.3,"£345,000",323,700.5,0.3
Ealing - Northolt Mandeville,E05000184,"5,482",6724,67.3,"£300,000",303,662.9,0.6
Ealing - Northolt West End,E05000185,"4,371",6057,61.9,"£226,111",320,677.2,0.5
Ealing - Norwood Green,E05000186,"3,750",5521,57.3,"£257,500",309,719.9,0.6
Ealing - Perivale,E05000187,"4,574",7544,71.4,"£367,500",340,733.2,0.3
Ealing - South Acton,E05000188,"9,206",6938,68.1,"£440,000",321,657.4,0.3
Ealing - Southall Broadway,E05000189,"9,344",5425,59.1,"£250,000",316,732.9,0.4
Ealing - Southall Green,E05000190,"9,406",6042,59.7,"£243,000",306,686,0.6
Ealing - Southfield,E05000191,"9,714",7601,77.6,"£780,000",351,698.3,0.1
Ealing - Walpole,E05000192,"9,033",7364,77.3,"£612,500",371,787.6,0.3
Enfield - Bowes,E05000193,"9,733",7292,71.9,"£319,995",330,702.2,0.5
Enfield - Bush Hill Park,E05000194,"5,720",6585,73,"£360,200",353,671.8,0.6
Enfield - Chase,E05000195,834,6180,69.5,"£324,000",317,684.9,0.6
Enfield - Cockfosters,E05000196,"1,370",5885,66.9,"£472,000",340,777.3,0.6
Enfield - Edmonton Green,E05000197,"5,952",6144,53.8,"£210,000",294,644.3,0.6
Enfield - Enfield Highway,E05000198,"3,576",6112,60.1,"£250,000",311,638.3,1
Enfield - Enfield Lock,E05000199,"5,167",6586,62,"£217,250",303,659.6,0.7
Enfield - Grange,E05000200,"4,015",6045,74.8,"£360,000",364,762.6,0.4
Enfield - Haselbury,E05000201,"9,278",6292,59.3,"£260,000",307,677.2,0.5
Enfield - Highlands,E05000202,"2,647",6120,72.9,"£375,000",347,719,0.3
Enfield - Jubilee,E05000203,"3,782",5744,62.2,"£250,000",310,624.8,0.5
Enfield - Lower Edmonton,E05000204,"7,682",6057,57.9,"£248,000",304,629.4,0.2
Enfield - Palmers Green,E05000205,"8,263",7225,70.2,"£353,500",337,732.4,0.2
Enfield - Ponders End,E05000206,"4,771",5902,58,"£248,000",314,634.1,0.4
Enfield - Southbury,E05000207,"5,172",6183,65,"£265,000",327,641.5,0.7
Enfield - Southgate,E05000208,"5,537",6886,71.1,"£347,500",361,746.4,0.4
Enfield - Southgate Green,E05000209,"5,539",6464,70.4,"£500,000",348,796,0.3
Enfield - Town,E05000210,"6,955",7349,75.9,"£350,000",328,659.9,0.3
Enfield - Turkey Street,E05000211,"6,435",5507,60.9,"£250,000",306,633.3,0.3
Enfield - Upper Edmonton,E05000212,"6,778",6599,58.4,"£250,000",291,636.6,0.9
Enfield - Winchmore Hill,E05000213,"4,929",6715,75.1,"£435,000",351,767.7,0.5
Greenwich - Abbey Wood,E05000214,"5,722",6347,63.6,"£250,000",301,683.8,1.5
Greenwich - Blackheath Westcombe,E05000215,"6,048",6675,75.5,"£427,500",327,754.4,0.2
Greenwich - Charlton,E05000216,"7,050",6572,67.7,"£363,000",316,708.9,0.7
Greenwich - Coldharbour and New Eltham,E05000217,"5,180",5957,70.7,"£325,000",319,688.8,0.4
Greenwich - Eltham North,E05000218,"4,789",6087,75.1,"£345,000",339,755.9,0.3
Greenwich - Eltham South,E05000219,"2,717",5537,64.9,"£288,750",352,703.8,0.6
Greenwich - Eltham West,E05000220,"4,667",4374,64,"£315,500",311,690.1,0.2
Greenwich - Glyndon,E05000221,"10,441",7961,62.5,"£224,995",317,687.1,0.6
Greenwich - Greenwich West,E05000222,"6,054",8485,68.6,"£450,000",311,642.9,0.6
Greenwich - Kidbrooke with Hornfair,E05000223,"5,854",6525,67.3,"£260,050",313,743.4,0.3
Greenwich - Middle Park and Sutcliffe,E05000224,"4,046",5652,65.6,"£292,755",329,714.3,0.6
Greenwich - Peninsula,E05000225,"4,156",7798,74.2,"£379,000",303,723.8,0.2
Greenwich - Plumstead,E05000226,"6,854",7282,63.9,"£249,000",306,712.8,1.1
Greenwich - Shooters Hill,E05000227,"3,487",6242,69.5,"£270,000",320,714.4,0.1
Greenwich - Thamesmead Moorings,E05000228,"4,219",8273,62.9,"£190,000",311,711,1.5
Greenwich - Woolwich Common,E05000229,"6,904",7113,60.5,"£267,500",313,669.2,0.6
Greenwich - Woolwich Riverside,E05000230,"6,359",8681,64.7,"£266,250",309,667.2,0.4
Hackney - Brownswood,E05000231,"15,188",6334,72,"£440,000",295,656.5,0.3
Hackney - Cazenove,E05000232,"19,214",5744,64.8,"£375,000",320,624.3,0
Hackney - Chatham,E05000233,"15,056",5930,63,"£415,000",326,680.5,0.6
Hackney - Clissold,E05000234,"17,643",6683,73.3,"£499,950",346,728.5,0.5
Hackney - Dalston,E05000235,"17,000",8021,70.4,"£485,000",332,680,0.4
Hackney - De Beauvoir,E05000236,"16,000",7456,71.1,"£480,000",315,684.5,0.6
Hackney - Hackney Central,E05000237,"16,000",6240,66.6,"£450,000",328,678,0.3
Hackney - Hackney Downs,E05000238,"13,100",6214,65.1,"£433,000",318,735.7,0.3
Hackney - Haggerston,E05000239,"12,167",7346,67.4,"£452,500",295,638.2,0.6
Hackney - Hoxton,E05000240,"19,750",7412,62.7,"£475,000",323,633.3,0.5
Hackney - King's Park,E05000241,"6,306",4166,57.6,"£383,000",321,680.1,0.4
Hackney - Leabridge,E05000242,"12,955",6620,65.6,"£375,000",339,667.9,0.5
Hackney - Lordship,E05000243,"10,333",5089,64.6,"£420,000",336,683.6,0.2
Hackney - New River,E05000244,"13,450",4631,58.2,"£340,000",320,641.4,0.5
Hackney - Queensbridge,E05000245,"12,727",6868,67.7,"£465,000",294,708.6,0.4
Hackney - Springfield,E05000246,"12,500",3994,53.8,"£285,000",332,663,0.3
Hackney - Stoke Newington Central,E05000247,"18,214",7032,73.4,"£483,125",328,715.1,0.2
Hackney - Victoria,E05000248,"16,813",6251,65.6,"£471,250",321,677.3,0.6
Hackney - Wick,E05000249,"7,500",4949,60.4,"£340,000",311,679.9,0.6
Hammersmith and Fulham - Addison,E05000250,"19,083",6873,76.2,"£572,500",331,635.5,0.1
Hammersmith and Fulham - Askew,E05000251,"17,563",7621,71.8,"£500,000",313,668,0.1
Hammersmith and Fulham - Avonmore and Brook Green,E05000252,"13,722",6573,69.5,"£618,250",343,656.2,0.1
Hammersmith and Fulham - College Park and Old Oak,E05000253,"2,897",4075,62.6,"£458,000",317,669.2,1.3
Hammersmith and Fulham - Fulham Broadway,E05000254,"16,000",6064,72.4,"£805,000",294,635.3,0.1
Hammersmith and Fulham - Fulham Reach,E05000255,"12,778",6331,71,"£786,250",343,584.6,0.1
Hammersmith and Fulham - Hammersmith Broadway,E05000256,"10,955",6161,69.9,"£741,250",325,587.2,0.1
Hammersmith and Fulham - Munster,E05000257,"18,250",6462,76.7,"£745,000",280,709.1,0.2
Hammersmith and Fulham - North End,E05000258,"20,083",6805,72.7,"£558,000",300,636.1,0.4
Hammersmith and Fulham - Palace Riverside,E05000259,"5,000",3720,74.3,"£950,000",309,713.4,0
Hammersmith and Fulham - Parsons Green and Walham,E05000260,"11,944",5716,73.7,"£1,330,000",321,775.2,0.2
Hammersmith and Fulham - Ravenscourt Park,E05000261,"9,000",5531,72.2,"£704,000",340,674.5,0.2
Hammersmith and Fulham - Sands End,E05000262,"9,321",6518,69.3,"£827,750",321,637.3,0.1
Hammersmith and Fulham - Shepherd's Bush Green,E05000263,"11,318",6797,72,"£440,000",332,688.2,0.2
Hammersmith and Fulham - Town,E05000264,"15,929",6512,76.4,"£690,000",334,676.8,0.1
Hammersmith and Fulham - Wormholt and White City,E05000265,"14,944",5694,62.2,"£427,500",309,659,0.1
Haringey - Alexandra,E05000266,"4,596",6189,76.7,"£625,000",382,780.3,0.2
Haringey - Bounds Green,E05000267,"10,036",6822,69,"£332,350",335,662.8,0.3
Haringey - Bruce Grove,E05000268,"16,389",6192,61.8,"£325,000",299,660.2,0.5
