Ward name,New code,Population density (persons per sq km) - 2013,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (£) - 2014,Average GCSE capped point scores - 2014,A-Level Average Point Score Per Student - 2013/14,"Deliberate Fires per 1,000 population - 2014"
Wandsworth - Southfields,E05000624,"10,933",9716,80.9,"£515,250",338,735.9,0.1
Wandsworth - Thamesfield,E05000625,"7,921",9409,83.4,"£700,000",345,719.3,0.1
Wandsworth - Tooting,E05000626,"10,563",8038,67.7,"£440,500",322,732.9,0.1
Wandsworth - Wandsworth Common,E05000627,"5,607",7925,71,"£568,000",341,724.9,1.3
Wandsworth - West Hill,E05000628,"9,765",8595,73.1,"£395,000",309,730.8,0.1
Wandsworth - West Putney,E05000629,"8,389",7376,72.6,"£497,800",328,678.6,0.3
Westminster - Abbey Road,E05000630,"10,318",5233,67.9,"£750,000",329,627.8,0.2
Westminster - Bayswater,E05000631,"20,700",5977,73.9,"£850,000",344,557.3,n/a
Westminster - Bryanston and Dorset Square,E05000632,"17,643",6295,66.6,"£975,000",358,680.6,0
Westminster - Churchill,E05000633,"16,750",4085,63.4,"£1,100,000",344,644.1,0
Westminster - Church Street,E05000634,"29,750",3744,48.7,"£440,000",318,667.2,0.2
Westminster - Harrow Road,E05000635,"24,300",5533,63.4,"£499,950",333,645.2,n/a
Westminster - Hyde Park,E05000636,"13,000",6014,62.4,"£850,000",336,736.1,0.1
Westminster - Knightsbridge and Belgravia,E05000637,"2,736",3947,56.5,"£3,500,000",341,678.8,0.2
Westminster - Lancaster Gate,E05000638,"22,417",7523,71.2,"£895,000",349,791.9,0.1
Westminster - Little Venice,E05000639,"18,000",5384,69.4,"£870,000",304,712,0
Westminster - Maida Vale,E05000640,"17,167",5243,70.4,"£773,000",323,750.7,0
Westminster - Marylebone High Street,E05000641,"10,750",5902,71.4,"£1,090,000",390,871.4,0.2
Westminster - Queen's Park,E05000642,"21,250",5088,59,"£545,000",315,674.9,0.2
Westminster - Regent's Park,E05000643,"5,326",5153,62.4,"£942,500",297,758.1,0.1
Westminster - St. James's,E05000644,"3,271",5879,67.7,"£1,262,500",353,598.9,0.6
Westminster - Tachbrook,E05000645,"20,750",4531,75.2,"£715,650",368,689.8,0.7
Westminster - Vincent Square,E05000646,"14,714",5023,69,"£840,000",326,639.4,0.2
Westminster - Warwick,E05000647,"15,917",5388,73.8,"£857,250",310,715.3,0.5
Westminster - Westbourne,E05000648,"18,500",5173,59,"£499,975",339,676,0.5
Westminster - West End,E05000649,"5,475",6124,71.3,"£1,487,500",363,720.7,0.4
City of London,E09000001,"2,538",4555,79.6,"£765,000",355,662.9,0.4
Barking and Dagenham,E09000002,"5,174",74001,62.6,"£215,000",307,658.9,0.9
Barnet,E09000003,"4,265",164302,70,"£400,000",339,717.2,0.2
Bexley,E09000004,"3,679",107274,72.9,"£250,000",323,706,0.7
Brent,E09000005,"7,406",144030,66.7,"£385,000",319,680.4,0.2
Bromley,E09000006,"2,114",146448,74.4,"£335,000",337,746,0.6
Camden,E09000007,"10,482",105123,65.3,"£675,000",319,669.6,0.3
Croydon,E09000008,"4,313",168680,70.3,"£265,000",317,695.8,0.5
Ealing,E09000009,"6,209",161259,69.1,"£388,000",324,706.1,0.3
Enfield,E09000010,"3,922",133872,65.7,"£285,000",321,680.9,0.5
Greenwich,E09000011,"5,210",115561,66.8,"£317,000",316,702.9,0.6
Hackney,E09000012,"13,472",116980,65.8,"£433,000",321,677.5,0.4
Hammersmith and Fulham,E09000013,"10,552",97453,71.4,"£661,000",318,658.3,0.2
Haringey,E09000014,"8,888",121835,67.5,"£405,000",320,684.5,0.4
Harrow,E09000015,"4,872",110158,70,"£370,000",337,730.8,0.2
Havering,E09000016,"2,119",109624,72.8,"£250,000",318,655,0.8
Hillingdon,E09000017,"2,485",127046,69.9,"£307,000",323,701.5,0.7
Hounslow,E09000018,"4,670",124325,70.8,"£319,950",327,681.3,0.5
Islington,E09000019,"14,532",104767,67.5,"£530,000",320,661.5,0.5
Kensington and Chelsea,E09000020,"12,573",77998,67.7,"£1,195,000",332,685.5,0.1
Kingston upon Thames,E09000021,"4,466",79777,72.9,"£385,000",345,729.7,0.4
Lambeth,E09000022,"11,517",164113,72.9,"£420,000",316,661.4,0.5
Lewisham,E09000023,"8,097",133650,69.4,"£315,000",308,662.9,0.5
Merton,E09000024,"5,460",102354,74.3,"£385,000",331,688.6,0.3
Newham,E09000025,"8,384",131093,60.3,"£250,000",313,647.2,0.8
Redbridge,E09000026,"5,135",121539,66.5,"£301,500",339,686.8,0.3
Richmond upon Thames,E09000027,"3,256",95862,76.8,"£535,000",350,750.8,0.3
Southwark,E09000028,"9,977",145248,68.3,"£420,000",319,648.3,0.6
Sutton,E09000029,"4,480",94912,76,"£285,000",342,738.6,0.4
Tower Hamlets,E09000030,"12,565",119774,63.6,"£383,000",315,667.1,1.2
Waltham Forest,E09000031,"6,897",118931,67,"£320,000",317,676,0.5
Wandsworth,E09000032,"8,854",175423,76.6,"£532,500",326,698.7,0.3
Westminster,E09000033,"10,286",107239,66.1,"£875,000",330,680.5,0.2
,,,,,,,,
